% ./projectseries.x -T0 0 -T1 400 -bd basis2/ -Nb 4 -d data/u2 -ul u2 -o u2basis2.asc 
% forcing dissipation energy
1.10973 1.03722 0.0640079
1.10744 1.03609 0.0630581
1.10519 1.03499 0.0621178
1.10298 1.03391 0.0611871
1.10082 1.03287 0.0602661
1.0987 1.03185 0.0593549
1.09661 1.03086 0.0584536
1.09457 1.02989 0.0575621
1.09256 1.02896 0.0566806
1.09059 1.02804 0.0558091
1.08866 1.02716 0.0549475
1.08676 1.0263 0.054096
1.0849 1.02546 0.0532545
1.08308 1.02464 0.0524231
1.08129 1.02385 0.0516017
1.07954 1.02308 0.0507903
1.07781 1.02234 0.049989
1.07613 1.02161 0.0491977
1.07447 1.02091 0.0484163
1.07285 1.02023 0.0476449
1.07126 1.01957 0.0468835
1.0697 1.01892 0.0461319
1.06817 1.0183 0.0453903
1.06667 1.01769 0.0446584
1.0652 1.01711 0.0439363
1.06376 1.01654 0.0432239
1.06235 1.01599 0.0425212
1.06097 1.01546 0.0418281
1.05962 1.01494 0.0411446
1.05829 1.01444 0.0404705
1.05699 1.01395 0.0398059
1.05572 1.01348 0.0391506
1.05447 1.01302 0.0385047
1.05325 1.01258 0.0378679
1.05206 1.01215 0.0372404
1.05088 1.01174 0.0366219
1.04974 1.01134 0.0360124
1.04861 1.01095 0.0354118
1.04751 1.01058 0.0348201
1.04644 1.01021 0.0342372
1.04538 1.00986 0.0336629
1.04435 1.00952 0.0330973
1.04334 1.00919 0.0325401
1.04236 1.00887 0.0319915
1.04139 1.00857 0.0314511
1.04044 1.00827 0.0309191
1.03952 1.00798 0.0303952
1.03861 1.0077 0.0298795
1.03772 1.00743 0.0293718
1.03686 1.00717 0.028872
1.03601 1.00692 0.02838
1.03518 1.00668 0.0278958
1.03437 1.00644 0.0274192
1.03357 1.00622 0.0269503
1.0328 1.006 0.0264888
1.03204 1.00579 0.0260347
1.03129 1.00558 0.0255879
